order_id,date,name,price,quantity,servings_per_container,calories,total_fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g,day(date)
12,2019-05-12,Sausage,3.29,1,8,400,20,8,0,200,1360,8,0,8,48,12
12,2019-05-12,Kirkwood Crispy Chicken Strips,5.49,2,5,3170,133,25,0,420,10000,300,0,0,217,12
12,2019-05-12,Friendly Farms Vanilla Unsweetened Almondmilk,2.55,1,8,240,20,0,0,0,1360,8,2,0,8,12
12,2019-05-12,Salad,0.99,1,3,45,0,0,0,0,60,12,3,6,3,12
12,2019-05-12,Hummus,2.55,1,10,1100,70,5,0,0,2200,90,20,10,30,12
12,2019-05-12,Park Street Deli Chicken Fajitas,6.59,2,2,640,9.6,0,0,256,4864,48,6.4,25.6,83.2,12
12,2019-05-12,Appleton Farms Premium Sliced Bacon,3.85,2,12,1008,76.80000000000001,24,4.800000000000001,216,4608,2.88,0,0,72,12
12,2019-05-12,Whole And Simple Southwest Chicken Quinoa Bowl,3.29,1,1,310,6,1,0,20,480,50,7,5,15,12
12,2019-05-12,Simply Nature Creamy Almond Butter,5.39,1,5.21,1979.8,177.14,10.42,0,0,677.3,72.94,31.259999999999998,20.84,62.519999999999996,12
13,2019-05-20,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,2,1,700,12,2,0,50,1020,94,12,12,32,20
13,2019-05-20,Whole And Simple Southwest Chicken Quinoa Bowl,3.29,2,1,620,12,2,0,40,960,100,14,10,30,20
13,2019-05-20,Savoritz Woven Whole Wheat Cracker,1.95,2,8.25,2310,99,24.75,0,0,3300,346.5,49.5,0,49.5,20
13,2019-05-20,Sausage,3.29,2,8,800,40,16,0,400,2720,16,0,16,96,20
13,2019-05-20,Sausage,3.29,2,8,800,40,16,0,400,2720,16,0,16,96,20
13,2019-05-20,Friendly Farms Vanilla Unsweetened Almondmilk,2.55,1,8,240,20,0,0,0,1360,8,2,0,8,20
13,2019-05-20,Kirkwood Crispy Chicken Strips,5.49,1,5,1585,66.5,12.5,0,210,5000,150,0,0,108.5,20
13,2019-05-20,Salad,1.35,2,3,90,0,0,0,0,120,24,6,12,6,20
13,2019-05-20,Park Street Deli Chicken Fajitas,6.59,2,2,640,9.6,0,0,256,4864,48,6.4,25.6,83.2,20
13,2019-05-20,12 Grain Bread,2.09,1,16,1760,32,0,0,0,3360,320,48,48,80,20
13,2019-05-20,Hummus,2.55,1,10,1100,70,5,0,0,2200,90,20,10,30,20
13,2019-05-20,Fusia Chicken Fried Rice,3.85,1,1,220,6,1,0,45,510,31,2,3,12,20
13,2019-05-20,Season's Choice Steamable Mediterranean Quinoa,3.29,3,2.4,1080,32.4,3.5999999999999996,0,0,3240,151.2,21.599999999999998,21.599999999999998,36,20
13,2019-05-20,Apples,4.39,1,6,432,0.23399999999999999,0,0,0,6,6,19.799999999999997,85.80000000000001,2.16,20
13,2019-05-20,Apples,4.39,1,6,432,0.23399999999999999,0,0,0,6,6,19.799999999999997,85.80000000000001,2.16,20
13,2019-05-20,Never Any! Hickory Bacon,5.49,2,12,1008,76.80000000000001,24,4.800000000000001,216,4608,2.88,0,0,72,20
13,2019-05-20,Salisbury Steak Dinner,2.95,1,6,960,66,24,0,180,4140,48,6,0,48,20
13,2019-05-20,Salisbury Steak Dinner,2.95,1,6,960,66,24,0,180,4140,48,6,0,48,20
13,2019-05-20,Simply Nature Creamy Almond Butter,5.39,1,5.21,1979.8,177.14,10.42,0,0,677.3,72.94,31.259999999999998,20.84,62.519999999999996,20
13,2019-05-20,Parkview Stadium Bratwurst,2.75,1,6,1260,108,36,0,240,3720,18,0,12,48,20
13,2019-05-20,Parkview Polska Kielbasa,2.55,1,7,1190,105,35,0,245,3640,14,0,7,42,20
14,2019-05-28,Hummus,2.55,2,10,2200,140,10,0,0,4400,180,40,20,60,28
14,2019-05-28,Park Street Deli Chicken Fajitas,6.59,2,2,640,9.6,0,0,256,4864,48,6.4,25.6,83.2,28
14,2019-05-28,Savoritz Woven Whole Wheat Cracker,1.95,2,8.25,2310,99,24.75,0,0,3300,346.5,49.5,0,49.5,28
14,2019-05-28,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,1,1,350,6,1,0,25,510,47,6,6,16,28
14,2019-05-28,Kirkwood Crispy Chicken Strips,5.49,2,5,3170,133,25,0,420,10000,300,0,0,217,28
14,2019-05-28,12 Grain Bread,2.09,1,16,1760,32,0,0,0,3360,320,48,48,80,28
14,2019-05-28,Bremer Garlic Chicken Skillet,3.65,2,2.625,840,110.25,21,0,78.75,2362.5,110.25,15.75,15.75,840,28
14,2019-05-28,Season's Choice Steamable Mediterranean Quinoa,3.29,2,2.4,720,21.599999999999998,2.4,0,0,2160,100.8,14.399999999999999,14.399999999999999,24,28
14,2019-05-28,Whole And Simple Southwest Chicken Quinoa Bowl,3.29,2,1,620,12,2,0,40,960,100,14,10,30,28
14,2019-05-28,Never Any! Hickory Bacon,5.49,1,12,504,38.400000000000006,12,2.4000000000000004,108,2304,1.44,0,0,36,28
14,2019-05-28,Apples,4.75,1,6,432,0.23399999999999999,0,0,0,6,6,19.799999999999997,85.80000000000001,2.16,28
14,2019-05-28,Apples,4.75,1,6,432,0.23399999999999999,0,0,0,6,6,19.799999999999997,85.80000000000001,2.16,28
14,2019-05-28,Eggs,1.55,1,12,840,60,18,0,2220,840,0,0,0,72,28
14,2019-05-28,Fusia Chicken Lo Mein,3.85,1,3,570,4.5,0,0,45,2190,105,9,30,30,28
14,2019-05-28,Salisbury Steak Dinner,2.95,1,6,960,66,24,0,180,4140,48,6,0,48,28
14,2019-05-28,Salisbury Steak Dinner,2.95,1,6,960,66,24,0,180,4140,48,6,0,48,28
14,2019-05-28,Parkview Stadium Bratwurst,2.75,1,6,1260,108,36,0,240,3720,18,0,12,48,28
15,2019-06-07,Whole And Simple Mediterranean Chicken Quinoa Bowl,3.29,1,1,350,6,1,0,25,510,47,6,6,16,7
15,2019-06-07,Savoritz Woven Whole Wheat Cracker,1.95,2,8.25,2310,99,24.75,0,0,3300,346.5,49.5,0,49.5,7
15,2019-06-07,Kirkwood Crispy Chicken Strips,5.49,2,5,3170,133,25,0,420,10000,300,0,0,217,7
15,2019-06-07,Hummus,2.55,2,10,2200,140,10,0,0,4400,180,40,20,60,7
15,2019-06-07,12 Grain Bread,2.09,1,16,1760,32,0,0,0,3360,320,48,48,80,7
15,2019-06-07,Season's Choice Steamable Mediterranean Quinoa,3.29,1,2.4,360,10.799999999999999,1.2,0,0,1080,50.4,7.199999999999999,7.199999999999999,12,7
15,2019-06-07,Park Street Deli Chicken Fajitas,6.59,1,2,320,4.8,0,0,128,2432,24,3.2,12.8,41.6,7
15,2019-06-07,Whole And Simple Southwest Chicken Quinoa Bowl,3.29,2,1,620,12,2,0,40,960,100,14,10,30,7
